ITEMDESC,Brand,Company,Packtype,Packsize,Matched_ITEMDESC,Matched_BRAND,Matched_MANUFACTURE,Matched_PACKTYPE,Matched_PACKSIZE,Reason,Suggestion,Score
WIJAYA/ INSTANT NOODLES/FAMILY PACK /375GM/PLPCH,WIJAYA,WIJAYA PRODUCTS (PVT) LTD,PLPCH,375GM,WIJAYA INSTANT NOODLES - FAMILY PACK (5 PACKS) 375 GM PLPCH,WIJAYA,WIJAYA PRODUCTS (PVT) LTD,PLPCH,375.00 GM,,EMF,0.9842888646654178
"VENDOL VENIVEL/85/GM/CDB/TURMERIC, VENIVEL, MARGOSA,SANDALWOOD WITH ALOE VERA/SAVE RS.30/=",VENDOL VENIVAL,GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),CDB,85GM,VENDOL VENIVAL TURMERIC-VENIVAL-MARGOSA-SANDALWOOD WITH ALOEVERA 85 GM CDBOX,VENDOL VENIVAL,GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),CDBOX,85.00 GM,,EMF,0.9620037392056743
HIGHLAND/400/GM/CDB/GOLD FULL CREAM ,HIGHLAND,MILCO (PVT) LTD,CDB,400GM ,,HIGHLAND,MILCO (PVT) LTD,CDBOX,400GM,| Target Itemdesc not found,HIGHLAND FULL CREAM 400 GM CDBOX,0.9346949085861993
PEARS/100/ML/PBT/100% NATURAL EXTRACTS RATHMAL BABY CREAM FOR SOOTHING SKIN ,PEARS BABY,UNILEVER SRI LANKA LTD,PBT,100ML ,,PEARS BABY,UNILEVER LIPTON CEYLON LTD,PLBOT,100ML,| Target Itemdesc not found,PEARS BABY PURE & GENTLE BABY CREAM WITH OLIVE OIL & MOISTURE CREAM 100 ML PLBOT + FREE PEARS RATHMAL & KOKUM BABY SOAP 90 GM CDBOX,0.9462655514611044
PEARS/50/ML/PBT/100% NATURAL EXTRACTS KOKUM BABY CREAM FOR MOISTURISED SKIN ,PEARS BABY,UNILEVER SRI LANKA LTD,PBT,50ML ,,PEARS BABY,UNILEVER SRI LANKA LTD,PLBOT,50ML,| Target Itemdesc not found,PEARS BABY BED TIME BABY CREAM WITH MOISTURE CREAM 50 ML PLBOT,0.9125245714918686
PEARS/100/ML/PBT/FLOWER FAIRY BABY COLOGNE/FREE/PEARS BABY/50/ML/PBT/VENIVEL & TURMERIC BABY CREAM ,PEARS BABY,UNILEVER SRI LANKA LTD,PBT,100ML ,,PEARS BABY,UNILEVER SRI LANKA LTD,PLBOT,100ML,| Target Itemdesc not found,PEARS BABY 100 ML PLBOT VENIVEL & TURMERIC BABY CREAM + SAVE RS 20,0.9325971013892516
MUNCHEE SNAP IT/125/GM/PLPCH/CRUNCHY CARAMALIZED,MUNCHEE SNAP IT,CEYLON BISCUITS LIMITED,PLPCH ,125GM,MUNCHEE SNAP IT CRUNCHY CARAMALIZED BISCUITS 125 GM PLPCH,MUNCHEE SNAP IT,CEYLON BISCUITS LIMITED,PLPCH,125.00 GM,,EMF,0.9772656935778179
SUNLIGHT/200(100G×2)/GM/EWREP/REAL LEMON POWER,SUNLIGHT,UNILEVER SRI LANKA LTD,EWREP ,200GM(100G×2),,SUNLIGHT,UNILEVER SRI LANKA LTD,EWRPK,,| Target Packsize or UOM not found| Target Itemdesc not found,,
LAKMEE/350/GM/PLPCH/INSTANT MAGIC MIX CHICKEN FLAVOURED/FREE/LAKMEE/75/GM/PLPCH/CHILLI & GARLIC SAUCE ,LAKMEE,LAKMEE EXPORTS,PLPCH ,350GM,,LAKMEE,LAKMEE EXPORTS,PLPCH,350GM,| Target Itemdesc not found,LAKMEE INSTANT MAGIC MIX NOODLES CHICKEN FLAVOURED 350 GM + LAKMEE CHILLI & GARLIC SAUCE 75 GM PLPCH,0.9503511895978897
"SUNSILK/80/ML/PBT/LUSCIOUSLY THICK & LONG SHAMPOO WITH COCONUT OIL, YOGHURT PROTEIN,  KERATIN/FREE/LIFEBUOY/75/GM/EWREP/GLOWING SKIN SAKURA AND PINK CLAY",SUNSILK,UNILEVER SRI LANKA LTD,PBT,80ML ,"SUNSILK LUSCIOUSLY THICK & LONG-SHAMPOO WITH COCONUT OIL, YOGHURT PROTEIN, KERATIN 80 ML PLBOT",SUNSILK,UNILEVER SRI LANKA LTD,PLBOT,80.00 ML,,EMF,0.960326753408342
